phone,email,fn,ct,st
+17139721222,,AREA Texas Realty & Management,Houston,TX
+17133694362,,Shannon Property Management,Houston,TX
+17133227368,,Keyrenter Property Management Houston,Houston,TX
+19034004091,,Atlas Property Management Houston,Houston,TX
+18327010766,,Real Property Management Heritage,Houston,TX
+13462005307,,HomeRiver Group Houston Property Management,Houston,TX
+12818949111,,Real Property Management Preferred,Houston,TX
+17138301888,,Real Property Management Houston,Houston,TX
+17135651725,,Oak Loop Properties,Houston,TX
+13463301083,,Evernest Property Management Houston,Houston,TX
+17139561995,,King Property Management,Houston,TX
+18329624646,,Rental Management Group,Houston,TX
+17134290411,,Real Property Management Affiliates,Houston,TX
+12819724566,,Flat Fee Landlord,Houston,TX
+18323188893,,Goldnest Property Management,Houston,TX
+17139369200,,Rise Association Management Group,Houston,TX
+17133959700,,Green Residential,Houston,TX
+18328020848,,Emerson Property Management,Houston,TX
+17134897653,,Propertycare - Property Management,Houston,TX
+18326261800,,Hexa Property Management,Houston,TX
+17132247368,,Renters Warehouse,Manvel,TX
+18326404444,,Fat Property Management,Houston,TX
+17132444458,,Trusted Property Management Solutions of Houston,Houston,TX
+12814818062,,Goodwin & Company,Houston,TX
+17139578993,,Rockwell Management,Houston,TX
+18327138020,,Djozer Property Management Group,Houston,TX
+13309157535,,1 Stop Property Management,Houston,TX
+12814073818,,TexasRenters.com LLC,Houston,TX
+17138042598,,Grand Welcome Houston Property Management,Houston,TX
+17133297100,,Principal Management Group of Houston,Houston,TX
+17137724420,,Creative Management Company,Houston,TX
+17135285311,,MANAGErenthouses,Houston,TX
+18328641200,,Houston Community Management Services,Houston,TX
+17136278100,,Tanglewood Property - 5599 San Felipe,Houston,TX
+12815281400,,ALLSOURCE PROPERTY MANAGEMENT,Houston,TX
+17136902700,,KM Realty,Houston,TX
+17136004000,,KRJ Management  Inc.,Houston,TX
+12817999595,,Lisa Mann Realtor Texas PowerHouse Group,Houston,TX
+17136228100,,Post Oak Shopping Center /Management Office,Houston,TX
+18325981462,,Houston HOA Management,Houston,TX
+13462702972,,DMR Properties,Houston,TX
+17139553750,,RPM Living - Houston,Houston,TX
+17134906900,,Lincoln Property Co,Houston,TX
+17132672100,,The Hanover Company,Houston,TX
+17136278100,,Tanglewood Property Group - 5444 Westheimer,Houston,TX
+17138697897,,Prime Texas Properties,Houston,TX
+17139094902,,Bayou City Luxe,Houston,TX
+18323197960,,Barvin,Houston,TX
+17138639496,,Historic Heights Property Management,Houston,TX
+17135277335,,Peek Realty & Property Management,Houston,TX
+18446468787,,STR Management,Austin,TX
+12103443463,,Hendricks Property Management,San Antonio,TX
+18044532734,,Rooftop Property Management,San Antonio,TX
+12817817801,,EZ Home Rental,Houston,TX
+17867475300,,VM Real,Houston,TX
+12813439178,,Spectrum Association Management,Houston,TX
+13463958082,,Essential Solutions Managment,Houston,TX
+12102361928,,STR Property Services,Houston,TX
+18326173362,,Elevated Rentals Property Management,Houston,TX
+17135709216,,PrimePointe Property Management,Houston,TX
+18325981462,,Houston HOA Management,Houston,TX
+17133297100,,Principal Management Group of Houston,Houston,TX
+18328641200,,Houston Community Management Services,Houston,TX
+12106512138,,HOA Management Services,San Antonio,TX
+17133348000,,Graham Management  Inc.,Houston,TX
+12108263675,,EMBREY Management Services,San Antonio,TX
+12813439178,,Spectrum Association Management,Houston,TX
+12814818062,,Goodwin & Company,Houston,TX
+17139369200,,Rise Association Management Group,Houston,TX
+17133959700,,Green Residential,Houston,TX
+12819947842,,Goodlife HOA Management LLC,Houston,TX
+12104940659,,Spectrum Association Management,San Antonio,TX
+12812565090,,HOA Community Management Partner  LLC,Houston,TX
+12815790761,,Crest Management Company  AAMC,Houston,TX
+18302821240,,Ft. Sam Houston Family Housing,Fort Sam Houston,TX
+17137724420,,Creative Management Company,Houston,TX
+18044532734,,Rooftop Property Management,San Antonio,TX
